Название товара,Цена,ссылка
Wertmark Daciana WE185.22.203 Подвесная люстра,388 081 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/wertmark-daciana-we185-22-203-podvesnaya-lyustra
10018/800C Подвесная люстра LOFT IT Prism,43 625 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/10018-800c-podvesnaya-lyustra-loft-it-prism
LOFT1163-10WH Люстра-паук LOFT IT Nuage,39 627 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/loft1163-10wh-lyustra-pauk-loft-it-nuage
10019/800C Подвесная люстра LOFT IT Prism Clear,43 725 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/10019-800c-podvesnaya-lyustra-loft-it-prism-clear
10101/600 Chrome Подвесная люстра LOFT IT Spark,23 401 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/10101-600-chrome-podvesnaya-lyustra-loft-it-spark
Подвесная люстра Reluce 02153-0.4-04 CH,7 943 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/podvesnaya-lyustra-reluce-02153-0-4-04-ch
LOFT1891/12 Подвесная люстра LOFT IT Vintage birdcage,36 660 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/loft1891-12-podvesnaya-lyustra-loft-it-vintage-birdcage
Потолочная люстра Escada Mona 1128/6,19 000 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/potolochnaya-lyustra-escada-mona-1128-6
10045/6 Gold Люстра на штанге LOFT IT Tiara,19 720 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/10045-6-gold-lyustra-na-shtange-loft-it-tiara
10124/8 Подвесная люстра LOFT IT Fleur,60 084 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/10124-8-podvesnaya-lyustra-loft-it-fleur
LOFT1029A-6 Подвесная люстра LOFT IT Birds,22 363 руб. / шт.,https://www.plitkanadom.ru/svet/lyustry/loft1029a-6-podvesnaya-lyustra-loft-it-birds
